LINEAR AT: tag	name	text	class	description	position (top-left x&y)	size (w&h)
menu	Google Chrome	""			(99, 0)	(162, 27)
menu	System	""			(1814, 0)	(106, 27)
push-button	Google Chrome	""			(0, 33)	(70, 64)
push-button	Thunderbird Mail	""			(0, 101)	(70, 64)
push-button	Visual Studio Code	""			(0, 169)	(70, 64)
push-button	VLC media player	""			(0, 237)	(70, 64)
push-button	LibreOffice Writer	""			(0, 305)	(70, 64)
push-button	LibreOffice Calc	""			(0, 373)	(70, 64)
push-button	LibreOffice Impress	""			(0, 441)	(70, 64)
push-button	GNU Image Manipulation Program	""			(0, 509)	(70, 64)
push-button	Files	""			(0, 577)	(70, 64)
push-button	Ubuntu Software	""			(0, 645)	(70, 64)
push-button	Help	""			(0, 713)	(70, 64)
push-button	Trash	""			(0, 784)	(70, 64)
toggle-button	Show Applications	""			(0, 1010)	(70, 70)
push-button	Minimise	Minimise			(1821, 27)	(32, 40)
push-button	Restore	Restore			(1853, 27)	(32, 40)
push-button	Close	Close			(1885, 27)	(35, 40)
push-button	Search tabs	Search tabs			(76, 27)	(28, 41)
push-button	Close	Close			(312, 33)	(28, 28)
push-button	New tab	New tab			(348, 27)	(28, 41)
push-button	Back	Back			(70, 73)	(39, 34)
push-button	Reload	Reload			(147, 73)	(34, 34)
push-button	View site information	""			(195, 78)	(24, 24)
entry	Address and search bar	kohls.com/search.jsp?submit-search=web-regular&search=Spider-Man+toys+for+kids&kls_sbp=57072963420085815271642640080366846673			(227, 78)	(1565, 24)
push-button	Bookmark this tab	""			(1800, 78)	(24, 24)
push-button	You	You			(1845, 73)	(34, 34)
push-button	Chrome	Chrome			(1881, 73)	(39, 34)
document-web	Spider-Man toys for kids | Kohl's	""			(70, 114)	(1850, 966)
link	Free shipping with $49 purchase. details	Free shipping with $49 purchase. details			(642, 132)	(220, 14)
static	Free shipping	Free shipping			(645, 132)	(74, 14)
static	 with 	 with 			(718, 132)	(29, 14)
static	$49	$49			(746, 132)	(21, 14)
static	 purchase. 	 purchase. 			(766, 132)	(61, 14)
static	details	details			(826, 134)	(29, 11)
link	Fast & free store pickup! details	Fast & free store pickup! details			(861, 132)	(172, 14)
static	Fast & free	Fast & free			(864, 132)	(59, 14)
static	 store pickup! 	 store pickup! 			(922, 132)	(76, 14)
static	details	details			(997, 134)	(30, 11)
link	Take 20% off in store & online with code GOGET20. details	Take 20% off in store & online with code GOGET20. details			(1032, 132)	(316, 14)
static	Take 20% off	Take 20% off			(1035, 132)	(71, 14)
