LINEAR AT: tag	name	text	class	description	position (top-left x&y)	size (w&h)
label	orange_​background.​xcf	orange_​background.​xcf			(1529, 569)	(120, 34)
label	Triangle_​On_​The_​Side.​png	Triangle_​On_​The_​Side.​png			(1793, 335)	(120, 34)
label	woman_​sitting_​by_​the_​tree2.​png	woman_​sitting_​by_​the_​tree2.​png			(1793, 569)	(120, 34)
label	woman_​sitting_​by_​the_​tree.​png	woman_​sitting_​by_​the_​tree.​png			(1793, 686)	(120, 34)
label	helloExtension.​zip	helloExtension.​zip			(1793, 920)	(120, 34)
label	The_​Lost_​River_​Of_​Dreams.​jpg	The_​Lost_​River_​Of_​Dreams.​jpg			(1793, 452)	(120, 34)
label	leftside_​textbox.​png	leftside_​textbox.​png			(1265, 1037)	(120, 34)
label	helloExtension	helloExtension			(1803, 1037)	(99, 17)
label	_​_​MACOSX	_​_​MACOSX			(1816, 803)	(73, 17)
label	Triangle_​On_​The_​Side.​xcf	Triangle_​On_​The_​Side.​xcf			(1793, 218)	(120, 34)
label	New Folder 1	New Folder 1			(224, 569)	(88, 17)
label	New Folder 2	New Folder 2			(356, 686)	(88, 17)
label	Triangle_​In_​The_​Middle.​png	Triangle_​In_​The_​Middle.​png			(1661, 569)	(120, 34)
label	New Folder	New Folder			(1814, 101)	(77, 17)
label	edited_​darker.​png	edited_​darker.​png			(1661, 920)	(120, 34)
label	dog_​with_​background.​png	dog_​with_​background.​png			(1661, 452)	(120, 34)
label	berry.​png	berry.​png			(1556, 218)	(65, 17)
label	white_​background_​with_​object.​xcf	white_​background_​with_​object.​xcf			(1397, 1037)	(120, 34)
label	white_​background.​xcf	white_​background.​xcf			(1661, 101)	(120, 34)
label	edited_​colorful.​png	edited_​colorful.​png			(1661, 686)	(120, 34)
label	vibrant_​photo.​xcf	vibrant_​photo.​xcf			(1661, 803)	(120, 17)
label	dog_​with_​background_​two_​layers.​xcf	dog_​with_​background_​two_​layers.​xcf			(1529, 1037)	(120, 34)
label	computer.​png	computer.​png			(1542, 803)	(94, 17)
label	yicun.​raw	yicun.​raw			(1426, 101)	(62, 17)
label	heron.​jpeg	heron.​jpeg			(1421, 569)	(72, 17)
label	berries.​png	berries.​png			(1550, 452)	(77, 17)
label	dog_​cutout_​gold.​png	dog_​cutout_​gold.​png			(1661, 335)	(120, 34)
label	squirrel.​jpeg	squirrel.​jpeg			(1414, 452)	(85, 17)
label	gate.​jpeg	gate.​jpeg			(1425, 218)	(63, 17)
label	resized.​png	resized.​png			(1550, 920)	(78, 17)
label	dog_​without_​background.​png	dog_​without_​background.​png			(1661, 218)	(120, 34)
label	low_​resolution.​jpeg	low_​resolution.​jpeg			(1397, 686)	(120, 34)
label	berries_​contrast.​png	berries_​contrast.​png			(1529, 335)	(120, 34)
label	berry_​mirror.​png	berry_​mirror.​png			(1531, 101)	(115, 17)
label	palette_​computer.​png	palette_​computer.​png			(1529, 686)	(120, 34)
label	green_​background_​with_​object.​png	green_​background_​with_​object.​png			(1397, 803)	(120, 34)
label	white_​background_​with_​object.​png	white_​background_​with_​object.​png			(1397, 920)	(120, 34)
label	panda.​jpeg	panda.​jpeg			(1419, 335)	(75, 17)
label	Home	Home			(1701, 1037)	(40, 17)
menu	GNU Image Manipulation Program	""			(99, 0)	(287, 27)
menu	System	""			(1814, 0)	(106, 27)
push-button	Google Chrome	""			(0, 33)	(70, 64)
push-button	Thunderbird Mail	""			(0, 101)	(70, 64)
push-button	Visual Studio Code	""			(0, 169)	(70, 64)
push-button	VLC media player	""			(0, 237)	(70, 64)
push-button	LibreOffice Writer	""			(0, 305)	(70, 64)
push-button	LibreOffice Calc	""			(0, 373)	(70, 64)
push-button	LibreOffice Impress	""			(0, 441)	(70, 64)
push-button	GNU Image Manipulation Program	""			(0, 509)	(70, 64)
push-button	Files	""			(0, 577)	(70, 64)
push-button	Ubuntu Software	""			(0, 645)	(70, 64)
push-button	Help	""			(0, 713)	(70, 64)
push-button	Trash	""			(0, 784)	(70, 64)
toggle-button	Show Applications	""			(0, 1010)	(70, 70)
menu	File	File			(70, 64)	(36, 25)
menu	Edit	Edit			(106, 64)	(39, 25)
menu	Select	Select			(145, 64)	(53, 25)
menu	View	View			(198, 64)	(45, 25)
menu	Image	Image			(243, 64)	(53, 25)
menu	Layer	Layer			(296, 64)	(48, 25)
menu	Colors	Colors			(344, 64)	(56, 25)
menu	Tools	Tools			(400, 64)	(48, 25)
menu	Filters	Filters			(448, 64)	(55, 25)
menu	Windows	Windows			(503, 64)	(73, 25)
menu	Help	Help			(576, 64)	(43, 25)
label	Airbrush	Airbrush			(76, 326)	(176, 15)
combo-box	Normal	""			(76, 341)	(126, 29)
combo-box	Default	""			(206, 341)	(46, 29)
spin-button		100.0			(76, 374)	(176, 24)
label	Brush	Brush			(120, 402)	(98, 15)
text		2. Hardness 050			(120, 417)	(98, 32)
spin-button		51.00			(76, 453)	(112, 32)
spin-button		0.00			(76, 489)	(112, 32)
spin-button		0.00			(76, 525)	(112, 32)
spin-button		10.0			(76, 561)	(112, 32)
spin-button		50.0			(76, 597)	(112, 32)
spin-button		50.0			(76, 633)	(112, 32)
label	Dynamics	Dynamics			(120, 669)	(98, 15)
text		Dynamics Off			(120, 684)	(98, 32)
toggle-button	Dynamics Options	Dynamics Options			(76, 720)	(176, 19)
check-box	Apply Jitter	Apply Jitter			(76, 743)	(176, 21)
check-box	Smooth stroke	Smooth stroke			(76, 770)	(176, 21)
check-box	Lock brush to view	Lock brush to view			(76, 797)	(176, 21)
check-box	Motion only	Motion only			(76, 822)	(176, 21)
spin-button		50.0			(76, 847)	(176, 24)
spin-button		10.0			(76, 875)	(176, 24)
label	 	 			(268, 1050)	(1015, 29)
label	2. Hardness 050 (51 × 51)	2. Hardness 050 (51 × 51)			(1538, 154)	(376, 15)
text		Basic, 			(1538, 334)	(376, 32)
spin-button		10.0			(1538, 366)	(376, 24)
spin-button		100.0			(1538, 496)	(376, 24)
table-cell	Core Pointer	Core Pointer			(121, 77)	(248, 23)
table-cell	Virtual core XTEST pointer	Virtual core XTEST pointer			(121, 100)	(248, 23)
table-cell	VirtualPS/2 VMware VMMouse	VirtualPS/2 VMware VMMouse			(121, 123)	(248, 23)
table-cell	VMware VMware Virtual USB Mouse	VMware VMware Virtual USB Mouse			(121, 146)	(248, 23)
label	Core Pointer	Core Pointer			(398, 80)	(468, 24)
label	Mode:	Mode:			(394, 120)	(43, 31)
combo-box	Screen	""			(443, 120)	(94, 31)
table-cell	X	X			(410, 177)	(111, 23)
table-cell	1	1			(527, 177)	(37, 23)
table-cell	Y	Y			(410, 200)	(111, 23)
table-cell	2	2			(527, 200)	(37, 23)
table-cell	Pressure	Pressure			(410, 223)	(111, 23)
table-cell	none	none			(527, 223)	(37, 23)
table-cell	X tilt	X tilt			(410, 246)	(111, 23)
table-cell	none	none			(527, 246)	(37, 23)
table-cell	Y tilt	Y tilt			(410, 269)	(111, 23)
table-cell	none	none			(527, 269)	(37, 23)
table-cell	Wheel/Rotation	Wheel/Rotation			(410, 292)	(111, 23)
table-cell	none	none			(527, 292)	(37, 23)
label	Axes	Axes			(394, 157)	(174, 17)
label	Keys	Keys			(394, 322)	(174, 17)
label	The axis 'X' has no curve	The axis 'X' has no curve			(592, 139)	(300, 305)
label	X Curve	X Curve			(580, 120)	(312, 17)
push-button	Close	Close			(807, 468)	(85, 33)
push-button	Save	Save			(716, 468)	(85, 33)
push-button	Help	Help			(82, 468)	(85, 33)
