tag	name	text	class	description	position (top-left x&y)	size (w&h)
label	CPD_​Background_​Investigation_​Process.​pptx	CPD_​Background_​Investigation_​Process.​pptx			(1793, 920)	(120, 34)
label	Home	Home			(1833, 1037)	(40, 17)
label	.​~lock.​CPD_​Background_​Investigation_​Process.​pptx#	.​~lock.​CPD_​Background_​Investigation_​Process.​pptx#			(1793, 803)	(120, 34)
menu	LibreOffice Impress	""			(99, 0)	(191, 27)
menu	System	""			(1814, 0)	(106, 27)
push-button	Google Chrome	""			(0, 33)	(70, 64)
push-button	Thunderbird Mail	""			(0, 101)	(70, 64)
push-button	Visual Studio Code	""			(0, 169)	(70, 64)
push-button	VLC media player	""			(0, 237)	(70, 64)
push-button	LibreOffice Writer	""			(0, 305)	(70, 64)
push-button	LibreOffice Calc	""			(0, 373)	(70, 64)
push-button	LibreOffice Impress	""			(0, 441)	(70, 64)
push-button	GNU Image Manipulation Program	""			(0, 509)	(70, 64)
push-button	Files	""			(0, 577)	(70, 64)
push-button	Ubuntu Software	""			(0, 645)	(70, 64)
push-button	Help	""			(0, 713)	(70, 64)
push-button	Trash	""			(0, 784)	(70, 64)
toggle-button	Show Applications	""			(0, 1010)	(70, 70)
menu	File	""			(70, 64)	(40, 25)
menu	Edit	""			(110, 64)	(43, 25)
menu	View	""			(153, 64)	(49, 25)
menu	Insert	""			(202, 64)	(55, 25)
menu	Format	""			(257, 64)	(66, 25)
menu	Slide	""			(323, 64)	(49, 25)
menu	Slide Show	""			(372, 64)	(87, 25)
menu	Tools	""			(459, 64)	(52, 25)
menu	Window	""			(511, 64)	(70, 25)
menu	Help	""			(581, 64)	(47, 25)
menu	File	File			(70, 89)	(40, 21)
menu	Edit	Edit			(110, 89)	(43, 21)
menu	View	View			(153, 89)	(50, 21)
menu	Insert	Insert			(203, 89)	(56, 21)
menu	Format	Format			(259, 89)	(66, 21)
menu	Slide	Slide			(325, 89)	(49, 21)
menu	Slide Show	Slide Show			(374, 89)	(90, 21)
menu	Tools	Tools			(464, 89)	(53, 21)
menu	Window	Window			(517, 89)	(73, 21)
menu	Help	Help			(590, 89)	(48, 21)
document-presentation	CPD_Background_Investigation_Process - LibreOffice Presentation	""			(273, 167)	(1225, 879)
image	Picture 2	""			(788, 242)	(519, 384)
image	Picture 7	""			(344, 860)	(343, 125)
paragraph		The Background Investigation 			(676, 874)	(467, 121)
paragraph		Process			(676, 994)	(224, 62)
image	Picture 2	""			(431, 199)	(394, 685)
scroll-bar	Horizontal scroll bar	""			(273, 1047)	(1226, 12)
scroll-bar	Vertical scroll bar	""			(1499, 167)	(12, 880)
push-button	Close Pane	""			(242, 175)	(20, 22)
document-frame	Slides View	""			(73, 204)	(186, 850)
toggle-button	Menu	""			(1874, 171)	(36, 34)
label	Properties	Properties			(1536, 172)	(305, 17)
toggle-button	Character	""			(1520, 193)	(326, 17)
toggle-button	Paragraph	""			(1520, 212)	(326, 17)
