LINEAR AT: tag	name	text	class	description	position (top-left x&y)	size (w&h)
label	LibreOffice_​Open_​Source_​Word_​Processing.​docx	LibreOffice_​Open_​Source_​Word_​Processing.​docx			(1793, 920)	(120, 34)
label	Home	Home			(1833, 1037)	(40, 17)
label	.​~lock.​LibreOffice_​Open_​Source_​Word_​Processing.​docx#	.​~lock.​LibreOffice_​Open_​Source_​Word_​Processing.​docx#			(1793, 803)	(120, 34)
menu	LibreOffice Writer	""			(99, 0)	(180, 27)
menu	System	""			(1814, 0)	(106, 27)
push-button	Google Chrome	""			(0, 33)	(70, 64)
push-button	Thunderbird Mail	""			(0, 101)	(70, 64)
push-button	Visual Studio Code	""			(0, 169)	(70, 64)
push-button	VLC media player	""			(0, 237)	(70, 64)
push-button	LibreOffice Writer	""			(0, 305)	(70, 64)
push-button	LibreOffice Calc	""			(0, 373)	(70, 64)
push-button	LibreOffice Impress	""			(0, 441)	(70, 64)
push-button	GNU Image Manipulation Program	""			(0, 509)	(70, 64)
push-button	Files	""			(0, 577)	(70, 64)
push-button	Ubuntu Software	""			(0, 645)	(70, 64)
push-button	Help	""			(0, 713)	(70, 64)
push-button	Trash	""			(0, 784)	(70, 64)
toggle-button	Show Applications	""			(0, 1010)	(70, 70)
menu	File	""			(70, 64)	(40, 25)
menu	Edit	""			(110, 64)	(43, 25)
menu	View	""			(153, 64)	(49, 25)
menu	Insert	""			(202, 64)	(55, 25)
menu-item	Page Break	""			(202, 89)	(351, 25)
menu	More Breaks	""			(202, 114)	(351, 25)
menu-item	Image...	""			(202, 140)	(351, 25)
menu-item	Chart...	""			(202, 165)	(351, 25)
menu	Media	""			(202, 190)	(351, 25)
menu	Object	""			(202, 215)	(351, 25)
menu	Shape	""			(202, 240)	(351, 25)
menu-item	Section...	""			(202, 266)	(351, 25)
menu-item	Text from File...	""			(202, 291)	(351, 25)
menu-item	Text Box	""			(202, 317)	(351, 25)
menu-item	Comment	""			(202, 342)	(351, 25)
menu	Frame	""			(202, 367)	(351, 25)
menu-item	Fontwork...	""			(202, 392)	(351, 25)
check-menu-item	Hyperlink...	""			(202, 443)	(351, 25)
menu-item	Bookmark...	""			(202, 468)	(351, 25)
menu-item	Cross-reference...	""			(202, 493)	(351, 25)
menu-item	Special Character...	""			(202, 519)	(351, 25)
menu	Formatting Mark	""			(202, 544)	(351, 25)
check-menu-item	Horizontal Line	""			(202, 569)	(351, 25)
menu	Footnote and Endnote	""			(202, 595)	(351, 25)
menu	Table of Contents and Index	""			(202, 620)	(351, 25)
menu-item	Page Number	""			(202, 646)	(351, 25)
menu	Field	""			(202, 671)	(351, 25)
menu	Header and Footer	""			(202, 696)	(351, 25)
menu-item	Envelope...	""			(202, 722)	(351, 25)
menu-item	Signature Line...	""			(202, 747)	(351, 25)
menu	Format	""			(257, 64)	(66, 25)
menu	Styles	""			(323, 64)	(56, 25)
menu	Table	""			(379, 64)	(53, 25)
menu	Form	""			(432, 64)	(52, 25)
menu	Tools	""			(484, 64)	(52, 25)
menu	Window	""			(536, 64)	(70, 25)
menu	Help	""			(606, 64)	(47, 25)
menu	File	File			(70, 64)	(40, 21)
menu	Edit	Edit			(110, 64)	(43, 21)
menu	View	View			(153, 64)	(50, 21)
menu	Insert	Insert			(203, 64)	(56, 21)
menu	Format	Format			(259, 64)	(66, 21)
menu	Styles	Styles			(325, 64)	(56, 21)
menu	Table	Table			(381, 64)	(53, 21)
menu	Form	Form			(434, 64)	(52, 21)
menu	Tools	Tools			(486, 64)	(53, 21)
menu	Window	Window			(539, 64)	(73, 21)
menu	Help	Help			(612, 64)	(48, 21)
document-text	LibreOffice_Open_Source_Word_Processing - LibreOffice Document	""			(70, 166)	(1779, 868)
heading		Libre Office: Open Source Word Processing			(551, 281)	(816, 166)
image	image6.jpg	""			(647, 513)	(44, 44)
image	image3.png	""			(635, 559)	(24, 24)
paragraph		Lulu Self-Publishing			(551, 583)	(816, 21)
paragraph		·			(551, 604)	(816, 28)
paragraph		Follow			(551, 632)	(816, 27)
paragraph		·			(551, 659)	(816, 28)
paragraph		25			(551, 687)	(816, 50)
