LINEAR AT: tag	name	text	class	description	position (top-left x&y)	size (w&h)
label	Home	Home			(1833, 1037)	(40, 17)
menu	Visual Studio Code	""			(99, 0)	(184, 27)
menu	System	""			(1814, 0)	(106, 27)
push-button	Google Chrome	""			(0, 33)	(70, 64)
push-button	Thunderbird Mail	""			(0, 101)	(70, 64)
push-button	Visual Studio Code	""			(0, 169)	(70, 64)
push-button	VLC media player	""			(0, 237)	(70, 64)
push-button	LibreOffice Writer	""			(0, 305)	(70, 64)
push-button	LibreOffice Calc	""			(0, 373)	(70, 64)
push-button	LibreOffice Impress	""			(0, 441)	(70, 64)
push-button	GNU Image Manipulation Program	""			(0, 509)	(70, 64)
push-button	Files	""			(0, 577)	(70, 64)
push-button	Ubuntu Software	""			(0, 645)	(70, 64)
push-button	Help	""			(0, 713)	(70, 64)
push-button	Trash	""			(0, 784)	(70, 64)
toggle-button	Show Applications	""			(0, 1010)	(70, 70)
document-web	Keyboard Shortcuts - Visual Studio Code	""			(70, 89)	(1850, 991)
section	Explorer (Ctrl+Shift+E)	""			(70, 89)	(48, 48)
section					(82, 101)	(24, 24)
static					(82, 101)	(24, 24)
section	Search (Ctrl+Shift+F)	""			(70, 137)	(48, 48)
section					(82, 149)	(24, 24)
static					(82, 149)	(24, 24)
section	Source Control (Ctrl+Shift+G)	""			(70, 185)	(48, 48)
section					(82, 197)	(24, 24)
static					(82, 197)	(24, 24)
section	Run and Debug (Ctrl+Shift+D)	""			(70, 233)	(48, 48)
section					(82, 245)	(24, 24)
static					(82, 245)	(24, 24)
section	Extensions (Ctrl+Shift+X)	""			(70, 281)	(48, 48)
section					(82, 293)	(24, 24)
static					(82, 293)	(24, 24)
push-button	Accounts	""			(70, 962)	(48, 48)
section	Accounts	""			(70, 962)	(48, 48)
section					(82, 974)	(24, 24)
static					(82, 974)	(24, 24)
push-button	Manage - New Code update available.	""			(70, 1010)	(48, 48)
section	Manage - New Code update available.	""			(70, 1010)	(48, 48)
section					(82, 1022)	(24, 24)
static					(82, 1022)	(24, 24)
section	Manage - New Code update available.	""			(70, 1010)	(48, 48)
section		1			(94, 1034)	(16, 16)
static	1	1			(99, 1037)	(6, 10)
heading	EXPLORER	EXPLORER			(138, 89)	(54, 35)
static	EXPLORER	EXPLORER			(138, 100)	(54, 12)
push-button	Views and More Actions...	""			(339, 95)	(22, 23)
push-button	No Folder Opened Section	""			(118, 124)	(255, 22)
section					(120, 127)	(16, 16)
static					(120, 127)	(16, 16)
heading	NO FOLDER OPENED	NO FOLDER OPENED			(138, 124)	(112, 22)
static	NO FOLDER OPENED	NO FOLDER OPENED			(138, 129)	(112, 12)
section	You have not yet opened a folder. Open Folder Opening a folder will close all currently open editors. To keep them open, add a folder instead. You can clone a repository locally. Clone Repository To learn more about how to use Git and source control in VS Code read our docs .	""			(118, 146)	(255, 868)
paragraph		You have not yet opened a folder.			(138, 159)	(215, 19)
static	You have not yet opened a folder.	You have not yet opened a folder.			(138, 161)	(198, 14)
push-button	Open Folder	Open Folder			(138, 190)	(215, 29)
paragraph		Opening a folder will close all currently open editors. To keep them open,  instead.			(138, 231)	(215, 55)
static	Opening a folder will close all currently open editors. To keep them open, 	Opening a folder will close all currently open editors. To keep them open, 			(138, 233)	(184, 51)
push-button	add a folder	add a folder			(208, 269)	(72, 15)
static	 instead.	 instead.			(279, 269)	(51, 15)
paragraph		You can clone a repository locally.			(138, 298)	(215, 19)
static	You can clone a repository locally.	You can clone a repository locally.			(138, 300)	(199, 15)
push-button	Clone Repository	Clone Repository			(138, 329)	(215, 29)
paragraph		To learn more about how to use Git and source control in VS Code .			(138, 370)	(215, 56)
static	To learn more about how to use Git and source control in VS Code 	To learn more about how to use Git and source control in VS Code 			(138, 372)	(207, 34)
push-button	read our docs	read our docs			(138, 391)	(206, 33)
static	.	.			(188, 409)	(4, 15)
push-button	Outline Section	""			(118, 1014)	(255, 22)
section					(120, 1017)	(16, 17)
static					(120, 1017)	(16, 17)
heading	OUTLINE	OUTLINE			(138, 1014)	(48, 23)
static	OUTLINE	OUTLINE			(138, 1019)	(48, 13)
push-button	Timeline Section	""			(118, 1036)	(255, 22)
section					(120, 1039)	(16, 17)
static					(120, 1039)	(16, 17)
heading	TIMELINE	TIMELINE			(138, 1036)	(52, 23)
static	TIMELINE	TIMELINE			(138, 1041)	(52, 13)
section	Welcome	""			(384, 89)	(81, 35)
section		Welcome			(406, 89)	(59, 35)
static	Welcome	Welcome			(406, 99)	(53, 14)
push-button	Close (Ctrl+W)	""			(469, 96)	(20, 21)
section					(471, 98)	(16, 17)
static					(471, 98)	(16, 17)
section	Keyboard Shortcuts	""			(504, 89)	(139, 35)
section					(504, 89)	(22, 35)
static					(504, 96)	(24, 20)
section		Keyboard Shortcuts			(526, 89)	(117, 35)
static	Keyboard Shortcuts	Keyboard Shortcuts			(526, 99)	(117, 14)
push-button	Close (Ctrl+W)	""			(646, 96)	(21, 21)
section					(648, 98)	(17, 17)
static					(648, 98)	(17, 17)
push-button	Open Keyboard Shortcuts (JSON)	""			(1834, 95)	(22, 23)
section					(1837, 98)	(16, 17)
static					(1837, 98)	(16, 17)
push-button	Split Editor Right (Ctrl+\) [Alt] Split Editor Down	""			(1860, 95)	(22, 23)
section					(1863, 98)	(16, 17)
static					(1863, 98)	(16, 17)
push-button	More Actions...	""			(1886, 95)	(22, 23)
section					(1889, 98)	(16, 17)
static					(1889, 98)	(16, 17)
entry	Showing 2349 Keybindings in alphabetical order	""			(402, 136)	(1507, 28)
check-box	Record Keys (Alt+K)	""			(1822, 139)	(22, 22)
section					(1825, 142)	(16, 16)
static					(1825, 142)	(16, 16)
check-box	Sort by Precedence (Highest first) (Alt+P)	""			(1848, 139)	(22, 22)
section					(1851, 142)	(16, 16)
static					(1851, 142)	(16, 16)
section					(1877, 142)	(16, 16)
static					(1877, 142)	(16, 16)
section		Command			(441, 176)	(456, 29)
static	Command	Command			(451, 184)	(62, 14)
section		Keybinding			(897, 176)	(304, 29)
static	Keybinding	Keybinding			(907, 184)	(70, 14)
section		When			(1201, 176)	(532, 29)
static	When	When			(1211, 184)	(36, 14)
section		Source			(1733, 176)	(187, 29)
static	Source	Source			(1743, 184)	(43, 14)
list-item	Accept Inline Completion, Control+/, accessibleViewIsShown && accessibleViewCurrentProviderId == 'inlineCompletions', System, use space or enter to change the keybinding.	""			(401, 206)	(1519, 24)
section	Accept Inline Completion (editor.action.accessibleViewAcceptInlineCompletion)	""			(451, 208)	(149, 20)
section		Accept Inline Completion			(451, 208)	(149, 20)
static	Accept Inline Completion	Accept Inline Completion			(451, 210)	(149, 15)
section	Control+/	Ctrl+/			(907, 209)	(59, 18)
static	Ctrl	Ctrl			(913, 212)	(19, 12)
static	+	+			(939, 211)	(8, 14)
static	/	/			(954, 212)	(6, 12)
section	accessibleViewIsShown && accessibleViewCurrentProviderId == 'inlineCompletions'	""			(1211, 208)	(522, 20)
section	accessibleViewIsShown && accessibleViewCurrentProviderId == 'inlineCompletions'	accessibleViewIsShown && accessibleViewCurrentProviderId == 'inlineCompletions'			(1211, 208)	(462, 20)
static	accessibleViewIsShown && accessibleViewCurrentProviderId == 'inlineCompletions'	accessibleViewIsShown && accessibleViewCurrentProviderId == 'inlineCompletions'			(1211, 211)	(462, 13)
section		System			(1743, 208)	(43, 20)
static	System	System			(1743, 210)	(43, 15)
list-item	Accept Inline Suggestion, Tab, inlineSuggestionHasIndentationLessThanTabSize && inlineSuggestionVisible && !editorHoverFocused && !editorTabMovesFocus && !suggestWidgetVisible, System, use space or enter to change the keybinding.	""			(401, 230)	(1519, 24)
section	Accept Inline Suggestion (editor.action.inlineSuggest.commit)	""			(451, 232)	(146, 20)
section		Accept Inline Suggestion			(451, 232)	(146, 20)
static	Accept Inline Suggestion	Accept Inline Suggestion			(451, 234)	(146, 15)
section	Tab	Tab			(907, 233)	(30, 18)
static	Tab	Tab			(913, 236)	(18, 12)
section	inlineSuggestionHasIndentationLessThanTabSize && inlineSuggestionVisible && !editorHoverFocused && !editorTabMovesFocus && !suggestWidgetVisible	""			(1211, 232)	(522, 20)
section	inlineSuggestionHasIndentationLessThanTabSize && inlineSuggestionVisible && !editorHoverFocused && !editorTabMovesFocus && !suggestWidgetVisible	inlineSuggestionHasIndentationLessThanTabSize && inlineSuggestionVisible && !editorHoverFocused && !editorTabMovesFocus && !suggestWidgetVisible			(1211, 232)	(522, 20)
static	inlineSuggestionHasIndentationLessThanTabSize && inlineSuggestionVisible && !editorHoverFocused && !editorTabMovesFocus && !suggestWidgetVisible	inlineSuggestionHasIndentationLessThanTabSize && inlineSuggestionVisible && !editorHoverFocused && !editorTabMovesFocus && !suggestWidgetVisible			(1211, 235)	(521, 13)
section		System			(1743, 232)	(43, 20)
static	System	System			(1743, 234)	(43, 15)
list-item	Accept Next Word Of Inline Suggestion, Control+RightArrow, inlineSuggestionVisible && !editorReadonly, System, use space or enter to change the keybinding.	""			(401, 254)	(1519, 24)
section	Accept Next Word Of Inline Suggestion (editor.action.inlineSuggest.acceptNextWord)	""			(451, 256)	(231, 20)
section		Accept Next Word Of Inline Suggestion			(451, 256)	(231, 20)
static	Accept Next Word Of Inline Suggestion	Accept Next Word Of Inline Suggestion			(451, 258)	(231, 15)
section	Control+RightArrow	Ctrl+RightArrow			(907, 257)	(112, 18)
static	Ctrl	Ctrl			(913, 260)	(19, 12)
static	+	+			(939, 259)	(8, 14)
static	RightArrow	RightArrow			(954, 260)	(59, 12)
section	inlineSuggestionVisible && !editorReadonly	""			(1211, 256)	(522, 20)
section	inlineSuggestionVisible && !editorReadonly	inlineSuggestionVisible && !editorReadonly			(1211, 256)	(246, 20)
static	inlineSuggestionVisible && !editorReadonly	inlineSuggestionVisible && !editorReadonly			(1211, 259)	(246, 13)
section		System			(1743, 256)	(43, 20)
static	System	System			(1743, 258)	(43, 15)
list-item	Accessible Diff Viewer: Go to Next Difference, F7, isInDiffEditor, System, use space or enter to change the keybinding.	""			(401, 278)	(1519, 24)
section	Accessible Diff Viewer: Go to Next Difference (editor.action.accessibleDiffViewer.next)	""			(451, 280)	(268, 20)
section		Accessible Diff Viewer: Go to Next Difference			(451, 280)	(268, 20)
static	Accessible Diff Viewer: Go to Next Difference	Accessible Diff Viewer: Go to Next Difference			(451, 282)	(268, 15)
section	F7	F7			(907, 281)	(25, 18)
